MLS ID,OJO Source Name ,MLS Name,Listings Requests,New Listings Requests,Updated Listings Requests,Happy Cases,Happy Cases (%),Not Found Cases,Not Found Cases (%),First Found - New,Recovery Cases - New,New Listings Recovered,New Listings Not Recovered,First Found - Updates,Recovery Cases - Updates,Updated Listings Recovered,Update Listings Not Recovered,Min - RT,Listings Recovery <= Avg Time,Avg - RT,Listings recovered > Avg Time,Max - RT,Min - RT - New,New Listings Recovery <= Avg Time,Avg - RT - New,New Listings recovered > Avg Time,Max - RT - New,Min - RT - Updates,Updated Listings Recovery <= Avg Time,Avg - RT - Updates,Updated Listings recovered > Avg Time,Max - RT - Updates,Report - Start Time,Report - End Time
12,ca_bear,MAXEBRDI,570,199,374,553,97.02,17,2.980000000000004,5,194,178,16,374,0,0,0,0:15:01.680000,96,1:24:12.598232,85,13:25:01.140000,0:15:01.680000,95,1:24:09.948989,83,13:25:01.140000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
100,ca_mlslistings,MLSListings,570,183,389,551,96.67,19,3.3299999999999983,7,176,157,19,389,0,0,0,0:10:00.450000,82,1:08:18.596296,80,2:18:32.180000,0:10:00.450000,78,1:09:32.354140,79,2:18:32.180000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
101,ca_bareis,BAREIS,181,88,96,179,98.9,2,1.0999999999999943,33,55,54,1,96,0,0,0,0:10:00.520000,21,0:53:27.062679,35,1:44:28.860000,0:10:00.520000,21,0:52:40.307963,33,1:44:28.860000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
102,ca_metrolist,Metrolist,717,405,317,714,99.58,3,0.4200000000000017,14,391,388,3,317,0,0,0,0:09:37.430000,213,3:26:17.423909,181,11:35:02.310000,0:09:37.430000,208,3:23:53.662655,180,11:35:02.310000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
104,ca_fmls,Fresno MLS,154,82,72,126,81.82,28,18.180000000000007,0,82,56,26,72,0,0,0,0:15:01.680000,33,1:55:19.348103,25,3:51:34.240000,0:15:01.680000,32,1:53:51.031429,24,3:51:34.240000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
110,ca_sfar,SFARMLS,132,82,50,120,90.91,12,9.090000000000003,2,80,68,12,50,0,0,0,0:15:01.370000,40,1:04:30.505652,29,2:24:29.160000,0:15:01.370000,40,1:03:46.407794,28,2:24:29.160000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
202,ca_mrmls,CRMLS,2382,1158,1224,2088,87.66,294,12.340000000000003,15,1143,863,280,1206,18,16,2,0:15:02.260000,560,2:46:41.188024,341,15:45:02.030000,0:15:02.260000,537,2:46:33.604079,326,15:45:02.030000,0:22:47.810000,7,2:16:32.218125,9,8:22:37.180000,2022-03-31 00:00:34,2022-04-01 00:00:34
203,ca_claw,The MLS,280,122,162,279,99.64,1,0.35999999999999943,14,108,108,0,162,0,0,0,0:08:25.350000,48,0:29:08.700364,62,0:58:30.140000,0:08:25.350000,47,0:29:09.462130,61,0:58:30.140000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
206,ca_damls,Desert Area MLS,112,57,55,112,100.0,0,0.0,13,44,44,0,55,0,0,0,0:14:59.880000,41,0:25:14.732667,4,1:48:26.250000,0:14:59.880000,40,0:25:21.851818,4,1:48:26.250000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
207,ca_mrmls,VCRDS,44,26,18,36,81.82,8,18.180000000000007,0,26,20,6,18,0,0,0,0:48:28.470000,11,3:11:28.644000,9,6:48:25.680000,0:48:28.470000,11,3:11:28.644000,9,6:48:25.680000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
